gene_symbol	phenotypes
PIK3CD	"Immunodeficiency 14, 615513 (3), Autosomal dominant"
NMNAT1	"Leber congenital amaurosis 9, 608553 (3), Autosomal recessive"
KIF1B	"Pheochromocytoma, 171300 (3), Autosomal dominant; ?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation"
PEX14	"Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive"
TARDBP	"Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant; Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant"
MASP2	"MASP2 deficiency, 613791 (3), Autosomal recessive"
MTOR	"Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant; Focal cortical dysplasia, type II, somatic, 607341 (3)"
UBIAD1	"Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant"
MAD2L2	"?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive"
MTHFR	"{Vascular disease, susceptibility to} (3); {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant"
NPPA	"Atrial standstill 2, 615745 (3), Autosomal recessive; Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant"
PLOD1	"Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive"
MFN2	"Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant"
VPS13D	"Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive"
CTRC	"{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant"
CELA2A	"Abdominal obesity-metabolic syndrome 4, 618620 (3), Autosomal dominant"
CLCNKA	"Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive"
CLCNKB	"Bartter syndrome, type 3, 607364 (3), Autosomal recessive; Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive"
EPHA2	"Cataract 6, multiple types, 116600 (3), Autosomal dominant"
ATP13A2	"Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive; Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive"
SDHB	"Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Pheochromocytoma, 171300 (3), Autosomal dominant; Paragangliomas 4, 115310 (3), Autosomal dominant; Paraganglioma and gastric stromal sarcoma, 606864 (3)"
PADI3	"Uncombable hair syndrome, 191480 (3), Autosomal recessive"
PADI4	"{Rheumatoid arthritis, susceptibility to}, 180300 (3)"
PADI6	"Preimplantation embryonic lethality 2, 617234 (3), Autosomal recessive"
PAX7	"Myopathy, congenital, progressive, with scoliosis, 618578 (3), Autosomal recessive; Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation"
ALDH4A1	"Hyperprolinemia, type II, 239510 (3), Autosomal recessive"
EMC1	"Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive"
PLA2G2A	"{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation"
PLA2G5	"[Fleck retina, familial benign], 228980 (3), Autosomal recessive"
PINK1	"Parkinson disease 6, early onset, 605909 (3), Autosomal recessive"
DDOST	"?Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive"
ECE1	"{Hypertension, essential, susceptibility to}, 145500 (3), Multifactorial; ?Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 (3), Autosomal dominant"
ALPL	"Hypophosphatasia, adult, 146300 (3), Autosomal recessive, Autosomal dominant; Odontohypophosphatasia, 146300 (3), Autosomal recessive, Autosomal dominant; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive"
HSPG2	"Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessive; Schwartz-Jampel syndrome, type 1, 255800 (3), Autosomal recessive"
CDC42	"Takenouchi-Kosaki syndrome, 616737 (3), Autosomal dominant"
WNT4	"?SERKAL syndrome, 611812 (3), Autosomal recessive; Mullerian aplasia and hyperandrogenism, 158330 (3), Autosomal dominant"
C1QA	"C1q deficiency, 613652 (3), Autosomal recessive"
C1QC	"C1q deficiency, 613652 (3), Autosomal recessive"
C1QB	"C1q deficiency, 613652 (3), Autosomal recessive"
EPHB2	"{Prostate cancer/brain cancer susceptibility, somatic}, 603688 (3); ?Bleeding disorder, platelet-type, 22, 618462 (3), Autosomal recessive"
KDM1A	"Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominant"
RPL11	"Diamond-Blackfan anemia 7, 612562 (3), Autosomal dominant"
GALE	"Galactose epimerase deficiency, 230350 (3), Autosomal recessive"
HMGCL	"HMG-CoA lyase deficiency, 246450 (3), Autosomal recessive"
FUCA1	"Fucosidosis, 230000 (3), Autosomal recessive"
GRHL3	"Van der Woude syndrome 2, 606713 (3), Autosomal dominant"
RHD	[Rh-negative blood type] (3)
RHCE	"[Blood group, Rhesus] (3); Rh-null disease, amorph type, 617970 (3)"
LDLRAP1	"Hypercholesterolemia, familial, 4, 603813 (3), Autosomal recessive"
SELENON	"Muscular dystrophy, rigid spine, 1, 602771 (3), Autosomal recessive; Myopathy, congenital, with fiber-type disproportion, 255310 (3), Autosomal recessive, Autosomal dominant"
SLC30A2	"Zinc deficiency, transient neonatal, 608118 (3), Autosomal dominant"
DHDDS	"Retinitis pigmentosa 59, 613861 (3), Autosomal recessive; Developmental delay and seizures with or without movement abnormalities, 617836 (3), Autosomal dominant; ?Congenital disorder of glycosylation, type 1bb, 613861 (3), Autosomal recessive"
ARID1A	"Coffin-Siris syndrome 2, 614607 (3), Autosomal dominant"
PIGV	"Hyperphosphatasia with mental retardation syndrome 1, 239300 (3), Autosomal recessive"
NR0B2	"Obesity, mild, early-onset, 601665 (3), Autosomal recessive, Multifactorial, Autosomal dominant"
KDF1	"?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type, 617337 (3), Autosomal dominant"
SLC9A1	"?Lichtenstein-Knorr syndrome, 616291 (3), Autosomal recessive"
FCN3	"Immunodeficiency due to ficolin 3 deficiency, 613860 (3), Autosomal recessive"
AHDC1	"Xia-Gibbs syndrome, 615829 (3), Autosomal dominant"
EPB41	"Elliptocytosis-1, 611804 (3), Autosomal recessive, Autosomal dominant"
MECR	"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive"
SDC3	"{Obesity, association with}, 601665 (3), Autosomal recessive, Multifactorial, Autosomal dominant"
PUM1	"Spinocerebellar ataxia 47, 617931 (3), Autosomal dominant"
CCDC28B	"{Bardet-Biedl syndrome 1, modifier of}, 209900 (3), Autosomal recessive, Digenic recessive"
LCK	"?Immunodeficiency 22, 615758 (3), Autosomal recessive"
YARS1	"Charcot-Marie-Tooth disease, dominant intermediate C, 608323 (3), Autosomal dominant"
HPCA	"Dystonia 2, torsion, autosomal recessive, 224500 (3), Autosomal recessive"
AK2	"Reticular dysgenesis, 267500 (3), Autosomal recessive"
GJB4	"Erythrokeratodermia variabilis et progressiva 2, 617524 (3), Autosomal dominant"
GJB3	"Deafness, autosomal dominant 2B, 612644 (3), Autosomal dominant; Deafness, autosomal recessive (3); Deafness, autosomal dominant, with peripheral neuropathy (3); Deafness, digenic, GJB2/GJB3, 220290 (3), Autosomal recessive, Digenic dominant; Erythrokeratodermia variabilis et progressiva 1, 133200 (3), Autosomal recessive, Autosomal dominant"
ADPRS	"Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3), Autosomal recessive"
COL8A2	"Corneal dystrophy, posterior polymorphous 2, 609140 (3), Autosomal dominant; Corneal dystrophy, Fuchs endothelial, 1, 136800 (3), Autosomal dominant"
CSF3R	"Neutropenia, severe congenital, 7, autosomal recessive, 617014 (3), Autosomal recessive"
SNIP1	"Psychomotor retardation, epilepsy, and craniofacial dysmorphism, 614501 (3), Autosomal recessive"
RSPO1	"Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal, 610644 (3), Autosomal recessive; Palmoplantar hyperkeratosis and true hermaphroditism, 610644 (3), Autosomal recessive"
MACF1	"Lissencephaly 9 with complex brainstem malformation, 618325 (3), Autosomal dominant"
TRIT1	"Combined oxidative phosphorylation deficiency 35, 617873 (3), Autosomal recessive"
MFSD2A	"Microcephaly 15, primary, autosomal recessive, 616486 (3), Autosomal recessive"
PPT1	"Ceroid lipofuscinosis, neuronal, 1, 256730 (3), Autosomal recessive"
ZMPSTE24	"Restrictive dermopathy, lethal, 275210 (3), Autosomal recessive; Mandibuloacral dysplasia with type B lipodystrophy, 608612 (3), Autosomal recessive"
COL9A2	"?Stickler syndrome, type V, 614284 (3), Autosomal recessive; Epiphyseal dysplasia, multiple, 2, 600204 (3), Autosomal dominant"
KCNQ4	"Deafness, autosomal dominant 2A, 600101 (3), Autosomal dominant"
CTPS1	"Immunodeficiency 24, 615897 (3), Autosomal recessive"
PPCS	"Cardiomyopathy, dilated, 2C, 618189 (3), Autosomal recessive"
CLDN19	"Hypomagnesemia 5, renal, with ocular involvement, 248190 (3), Autosomal recessive"
P3H1	"Osteogenesis imperfecta, type VIII, 610915 (3), Autosomal recessive"
SVBP	"Neurodevelopmental disorder with ataxia, hypotonia, and microcephaly, 618569 (3), Autosomal recessive"
ERMAP	"[Blood group, Scianna system], 111750 (3); [Blood group, Radin], 111620 (3)"
SLC2A1	"Dystonia 9, 601042 (3), Autosomal dominant; GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3), Autosomal recessive, Autosomal dominant; Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3), Autosomal dominant; GLUT1 deficiency syndrome 2, childhood onset, 612126 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3), Autosomal dominant"
MPL	"Myelofibrosis with myeloid metaplasia, somatic, 254450 (3); Thrombocytopenia, congenital amegakaryocytic, 604498 (3), Autosomal recessive; Thrombocythemia 2, 601977 (3), Autosomal dominant, Somatic mutation"
ELOVL1	"Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies, 618527 (3), Autosomal dominant"
SZT2	"Epileptic encephalopathy, early infantile, 18, 615476 (3), Autosomal recessive"
PTPRF	"?Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001 (3), Autosomal recessive"
ST3GAL3	"Mental retardation, autosomal recessive 12, 611090 (3), Autosomal recessive; ?Epileptic encephalopathy, early infantile, 15, 615006 (3), Autosomal recessive"
SLC6A9	"Glycine encephalopathy with normal serum glycine, 617301 (3), Autosomal recessive"
PTCH2	"Basal cell carcinoma, somatic, 605462 (3); Basal cell nevus syndrome, 109400 (3), Autosomal dominant; Medulloblastoma, somatic, 155255 (3)"
EIF2B3	"Leukoencephalopathy with vanishing white matter, 603896 (3), Autosomal recessive"
UROD	"Porphyria, hepatoerythropoietic, 176100 (3), Autosomal recessive, Autosomal dominant; Porphyria cutanea tarda, 176100 (3), Autosomal recessive, Autosomal dominant"
MUTYH	"Gastric cancer, somatic, 613659 (3); Adenomas, multiple colorectal, 608456 (3), Autosomal recessive"
TOE1	"Pontocerebellar hypoplasia, type 7, 614969 (3), Autosomal recessive"
MMACHC	"Methylmalonic aciduria and homocystinuria, cblC type, 277400 (3), Autosomal recessive"
PRDX1	"Methylmalonic aciduria and homocystinuria, cblC type, digenic, 277400 (3), Autosomal recessive"
POMGNT1	"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3, 613151 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3, 613157 (3), Autosomal recessive; Retinitis pigmentosa 76, 617123 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, 253280 (3), Autosomal recessive"
RAD54L	"Adenocarcinoma, colonic, somatic (3); {Breast cancer, invasive ductal}, 114480 (3), Autosomal dominant, Somatic mutation; Lymphoma, non-Hodgkin, somatic, 605027 (3)"
FAAH	"{Drug addiction, susceptibility to}, 606581 (3)"
TAL1	"Leukemia, T-cell acute lymphocytic, somatic, 613065 (3)"
STIL	"Microcephaly 7, primary, autosomal recessive, 612703 (3), Autosomal recessive"
FOXE3	"Cataract 34, multiple types, 612968 (3); Anterior segment dysgenesis 2, multiple subtypes, 610256 (3), Autosomal recessive; {Aortic aneurysm, familial thoracic 11, susceptibility to}, 617349 (3), Autosomal dominant"
ORC1	"Meier-Gorlin syndrome 1, 224690 (3), Autosomal recessive"
COA7	"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3, 618387 (3), Autosomal recessive"
SCP2	"?Leukoencephalopathy with dystonia and motor neuropathy, 613724 (3), Autosomal recessive"
CPT2	"CPT II deficiency, myopathic, stress-induced, 255110 (3), Autosomal recessive, Autosomal dominant; CPT II deficiency, infantile, 600649 (3), Autosomal recessive; CPT II deficiency, lethal neonatal, 608836 (3), Autosomal recessive; {Encephalopathy, acute, infection-induced, 4, susceptibility to}, 614212 (3), Autosomal recessive, Autosomal dominant"
LRP8	"{Myocardial infarction, susceptibility to}, 608446 (3)"
PARS2	"Epileptic encephalopathy, early infantile, 75, 618437 (3), Autosomal recessive"
DHCR24	"Desmosterolosis, 602398 (3), Autosomal recessive"
BSND	"Sensorineural deafness with mild renal dysfunction, 602522 (3), Autosomal recessive; Bartter syndrome, type 4a, 602522 (3), Autosomal recessive"
PCSK9	"Hypercholesterolemia, familial, 3, 603776 (3), Autosomal dominant; {Low density lipoprotein cholesterol level QTL 1}, 603776 (3), Autosomal dominant"
C8A	"C8 deficiency, type I, 613790 (3), Autosomal recessive"
C8B	"C8 deficiency, type II, 613789 (3), Autosomal recessive"
DAB1	"Spinocerebellar ataxia 37, 615945 (3), Autosomal dominant"
TACSTD2	"Corneal dystrophy, gelatinous drop-like, 204870 (3), Autosomal recessive"
MYSM1	"Bone marrow failure syndrome 4, 618116 (3), Autosomal recessive"
NFIA	"Brain malformations with or without urinary tract defects, 613735 (3), Autosomal dominant"
DOCK7	"Epileptic encephalopathy, early infantile, 23, 615859 (3), Autosomal recessive"
ANGPTL3	"Hypobetalipoproteinemia, familial, 2, 605019 (3), Autosomal recessive"
FOXD3	"{Autoimmune disease, susceptibility to, 1}, 607836 (3), Autosomal dominant"
ALG6	"Congenital disorder of glycosylation, type Ic, 603147 (3), Autosomal recessive"
PGM1	"Congenital disorder of glycosylation, type It, 614921 (3), Autosomal recessive"
ROR1	"?Deafness, autosomal recessive 108, 617654 (3), Autosomal recessive"
DNAJC6	"Parkinson disease 19b, early-onset, 615528 (3), Autosomal recessive; Parkinson disease 19a, juvenile-onset, 615528 (3), Autosomal recessive"
LEPR	"Obesity, morbid, due to leptin receptor deficiency, 614963 (3), Autosomal recessive"
SLC35D1	"Schneckenbecken dysplasia, 269250 (3), Autosomal recessive"
IL23R	"{Inflammatory bowel disease 17, protection against}, 612261 (3); {Psoriasis, protection against}, 605606 (3)"
RPE65	"Leber congenital amaurosis 2, 204100 (3), Autosomal recessive; Retinitis pigmentosa 87 with choroidal involvement, 618697 (3), Autosomal dominant; Retinitis pigmentosa 20, 613794 (3), Autosomal recessive"
CTH	"Homocysteine, total plasma, elevated (3); Cystathioninuria, 219500 (3), Autosomal recessive"
TNNI3K	"Cardiac conduction disease with or without dilated cardiomyopathy, 616117 (3), Autosomal dominant"
ACADM	"Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3), Autosomal recessive"
NEXN	"Cardiomyopathy, hypertrophic, 20, 613876 (3), Autosomal dominant; Cardiomyopathy, dilated, 1CC, 613122 (3), Autosomal dominant"
UOX	[Urate oxidase deficiency] (1)
BCL10	"?Immunodeficiency 37, 616098 (3), Autosomal recessive; {Male germ cell tumor, somatic}, 273300 (3); Lymphoma, MALT, somatic, 137245 (3); {Sezary syndrome, somatic} (3); {Lymphoma, follicular, somatic}, 605027 (3); {Mesothelioma, somatic}, 156240 (3)"
ZNF644	"Myopia 21, autosomal dominant, 614167 (3), Autosomal dominant"
HFM1	"Premature ovarian failure 9, 615724 (3), Autosomal recessive"
BRDT	"?Spermatogenic failure 21, 617644 (3), Autosomal recessive"
GLMN	"Glomuvenous malformations, 138000 (3), Autosomal dominant"
GFI1	"?Neutropenia, nonimmune chronic idiopathic, of adults, 607847 (3), Autosomal dominant; Neutropenia, severe congenital 2, autosomal dominant, 613107 (3), Autosomal dominant"
RPL5	"Diamond-Blackfan anemia 6, 612561 (3), Autosomal dominant"
GCLM	"{Myocardial infarction, susceptibility to}, 608446 (3)"
ABCA4	"Retinal dystrophy, early-onset severe, 248200 (3), Autosomal recessive; Stargardt disease 1, 248200 (3), Autosomal recessive; Fundus flavimaculatus, 248200 (3), Autosomal recessive; {Macular degeneration, age-related, 2}, 153800 (3), Autosomal dominant; Cone-rod dystrophy 3, 604116 (3); Retinitis pigmentosa 19, 601718 (3), Autosomal recessive"
ABCD3	"?Bile acid synthesis defect, congenital, 5, 616278 (3), Autosomal recessive"
ALG14	"?Myasthenic syndrome, congenital, 15, without tubular aggregates, 616227 (3), Autosomal recessive"
DPYD	"Dihydropyrimidine dehydrogenase deficiency, 274270 (3), Autosomal recessive; 5-fluorouracil toxicity, 274270 (3), Autosomal recessive"
AGL	"Glycogen storage disease IIIb, 232400 (3), Autosomal recessive; Glycogen storage disease IIIa, 232400 (3), Autosomal recessive"
SLC35A3	"?Arthrogryposis, mental retardation, and seizures, 615553 (3), Autosomal recessive"
SASS6	"?Microcephaly 14, primary, autosomal recessive, 616402 (3), Autosomal recessive"
DBT	"Maple syrup urine disease, type II, 248600 (3), Autosomal recessive"
CDC14A	"Deafness, autosomal recessive 32, with or without immotile sperm, 608653 (3), Autosomal recessive"
GPR88	"?Chorea, childhood-onset, with psychomotor retardation, 616939 (3), Autosomal recessive"
COL11A1	"Stickler syndrome, type II, 604841 (3), Autosomal dominant; Marshall syndrome, 154780 (3), Autosomal dominant; ?Deafness, autosomal dominant 37, 618533 (3), Autosomal dominant; {Lumbar disc herniation, susceptibility to}, 603932 (3); Fibrochondrogenesis 1, 228520 (3), Autosomal recessive"
RNPC3	"?Growth hormone deficiency, isolated, type V, 618160 (3), Autosomal recessive"
SLC25A24	"Fontaine progeroid syndrome, 612289 (3), Autosomal dominant"
GPSM2	"Chudley-McCullough syndrome, 604213 (3), Autosomal recessive"
TAF13	"Mental retardation, autosomal recessive 60, 617432 (3), Autosomal recessive"
SARS1	"?Neurodevelopmental disorder with microcephaly, ataxia, and seizures, 617709 (3), Autosomal recessive"
SORT1	"[Low density lipoprotein cholesterol level QTL6], 613589 (3), Autosomal dominant"
GNAI3	"Auriculocondylar syndrome 1, 602483 (3), Autosomal dominant"
GNAT2	"Achromatopsia 4, 613856 (3)"
AMPD2	"?Spastic paraplegia 63, 615686 (3), Autosomal recessive; Pontocerebellar hypoplasia, type 9, 615809 (3), Autosomal recessive"
EPS8L3	"?Hypotrichosis 5, 612841 (3), Autosomal dominant"
ALX3	"Frontonasal dysplasia 1, 136760 (3), Autosomal recessive"
SLC6A17	"Mental retardation, autosomal recessive 48, 616269 (3), Autosomal recessive"
RBM15	"Megakaryoblastic leukemia, acute, 606077 (2)"
KCNA2	"Epileptic encephalopathy, early infantile, 32, 616366 (3), Autosomal dominant"
DRAM2	"Cone-rod dystrophy 21, 616502 (3), Autosomal recessive"
KCND3	"Brugada syndrome 9, 616399 (3), Autosomal dominant; Spinocerebellar ataxia 19, 607346 (3), Autosomal dominant"
WNT2B	"Diarrhea 9, 618168 (3), Autosomal recessive"
SLC16A1	"Monocarboxylate transporter 1 deficiency, 616095 (3), Autosomal recessive, Autosomal dominant; Hyperinsulinemic hypoglycemia, familial, 7, 610021 (3), Autosomal dominant; Erythrocyte lactate transporter defect, 245340 (3), Autosomal dominant"
LRIG2	"Urofacial syndrome 2, 615112 (3), Autosomal recessive"
PTPN22	"{Diabetes, type 1, susceptibility to}, 222100 (3), Autosomal recessive; {Systemic lupus erythematosus susceptibility to}, 152700 (3), Autosomal dominant; {Rheumatoid arthritis, susceptibility to}, 180300 (3)"
AP4B1	"Spastic paraplegia 47, autosomal recessive, 614066 (3), Autosomal recessive"
AMPD1	"Myopathy due to myoadenylate deaminase deficiency, 615511 (3), Autosomal recessive"
NRAS	"Epidermal nevus, somatic, 162900 (3); Melanocytic nevus syndrome, congenital, somatic, 137550 (3); Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic, 163200 (3); Colorectal cancer, somatic, 114500 (3); ?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic, 614470 (3); Thyroid carcinoma, follicular, somatic, 188470 (3); Neurocutaneous melanosis, somatic, 249400 (3); Noonan syndrome 6, 613224 (3), Autosomal dominant"
TSHB	"Hypothyroidism, congenital, nongoitrous 4, 275100 (3), Autosomal recessive"
NGF	"Neuropathy, hereditary sensory and autonomic, type V, 608654 (3), Autosomal recessive"
VANGL1	"Caudal regression syndrome, 600145 (3), Autosomal dominant; {Neural tube defects, susceptibility to}, 182940 (3), Autosomal dominant"
CASQ2	"Ventricular tachycardia, catecholaminergic polymorphic, 2, 611938 (3), Autosomal recessive"
ATP1A1	"Charcot-Marie-Tooth disease, axonal, type 2DD, 618036 (3), Autosomal dominant; Hypomagnesemia, seizures, and mental retardation 2, 618314 (3), Autosomal dominant"
IGSF3	"?Lacrimal duct defect, 149700 (3), Autosomal recessive"
GDAP2	"Spinocerebellar ataxia, autosomal recessive 27, 618369 (3), Autosomal recessive"
TBX15	"Cousin syndrome, 260660 (3), Autosomal recessive"
WARS2	"Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures, 617710 (3), Autosomal recessive"
HSD3B2	"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency, 201810 (3), Autosomal recessive"
PHGDH	"Neu-Laxova syndrome 1, 256520 (3), Autosomal recessive; Phosphoglycerate dehydrogenase deficiency, 601815 (3), Autosomal recessive"
HMGCS2	"HMG-CoA synthase-2 deficiency, 605911 (3), Autosomal recessive"
NOTCH2	"Hajdu-Cheney syndrome, 102500 (3), Autosomal dominant; Alagille syndrome 2, 610205 (3), Autosomal dominant"
PEX11B	"?Peroxisome biogenesis disorder 14B, 614920 (3), Autosomal recessive"
RBM8A	"Thrombocytopenia-absent radius syndrome, 274000 (3), Autosomal recessive"
HJV	"Hemochromatosis, type 2A, 602390 (3), Autosomal recessive"
GJA5	"Atrial fibrillation, familial, 11, 614049 (3), Autosomal dominant; Atrial standstill, digenic (GJA5/SCN5A), 108770 (3), Autosomal dominant"
GJA8	"Cataract 1, multiple types, 116200 (3), Autosomal dominant"
NOTCH2NLC	"Neuronal intranuclear inclusion disease, 603472 (3), Autosomal dominant"
FCGR1A	"[IgG receptor I, phagocytic, familial deficiency of] (3)"
SF3B4	"Acrofacial dysostosis 1, Nager type, 154400 (3), Autosomal dominant"
VPS45	"Neutropenia, severe congenital, 5, autosomal recessive, 615285 (3), Autosomal recessive"
PRPF3	"Retinitis pigmentosa 18, 601414 (3), Autosomal dominant"
TARS2	"?Combined oxidative phosphorylation deficiency 21, 615918 (3), Autosomal recessive"
ECM1	"Urbach-Wiethe disease, 247100 (3), Autosomal recessive"
ADAMTSL4	"Ectopia lentis et pupillae, 225200 (3), Autosomal recessive; Ectopia lentis, isolated, autosomal recessive, 225100 (3), Autosomal recessive"
CTSK	"Pycnodysostosis, 265800 (3), Autosomal recessive"
PRUNE1	"Neurodevelopmental disorder with microcephaly, hypotonia, and variable brain anomalies, 617481 (3), Autosomal recessive"
ZNF687	"Paget disease of bone 6, 616833 (3), Autosomal dominant"
RFX5	"Bare lymphocyte syndrome, type II, complementation group C, 209920 (3), Autosomal recessive; Bare lymphocyte syndrome, type II, complementation group E, 209920 (3), Autosomal recessive"
SELENBP1	"Extraoral halitosis due to MTO deficiency, 618148 (3), Autosomal recessive"
PSMB4	"?Proteasome-associated autoinflammatory syndrome 3 and digenic forms, 617591 (3), Autosomal recessive"
POGZ	"White-Sutton syndrome, 616364 (3), Autosomal dominant"
RORC	"Immunodeficiency 42, 616622 (3), Autosomal recessive"
TCHH	"?Uncombable hair syndrome 3, 617252 (3), Autosomal recessive"
FLG	"{Dermatitis, atopic, susceptibility to, 2}, 605803 (3); Ichthyosis vulgaris, 146700 (3), Autosomal dominant"
FLG2	"Peeling skin syndrome 6, 618084 (3), Autosomal recessive"
